,index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc,word_ind,ori_word,clip_index,_before_no,_after_no,before_text,after_text,_before_kor,_after_kor,word_meaning,verify
188,50748,concern,112,I'll admit that was a concern.,BB223,330360,334000,i'll admit that was concern,./bigbang,F,21,concern,11,9,6,"Thank you,
but your sentiments may be premature.
Ooh, I don't like where this is going.
I would like to propose...
that the three of you accompany me.
To the North Pole?
Yes.
Is this just so we won't touch your stuff
while you're away?","But the fact is,
I'll need a support team.
And the three of you
are my first choice.
Really?
Well, there are others who might be more qualified,","고마워,
하지만 그런 감상들은 조금 일은감이 잊는듯 싶어
나쁜 예감이 드는걸..
난 너희 세명이..
나와 동행해 줬으면해
북극에?
그래
이거 혹시 니가 떠났을때
우리가 니 물건 만질까봐 그러는거야?","하지만, 사실은
지원그룹이 필요해
그리고 너희 세명이
내 최우선 후보야
정말로?
뭐 너희보다 뛰어난  사람들이야 있겠지만","n. 우려, 걱정",F
189,51682,concern,286,"I understand your concern,",BB223,822310,823550,i understand your concern,./bigbang,F,21,concern,12,7,4,"and tried to swim to Sri Lanka,
If you were standing behind me nagging, I might.
Don't talk back to your mother.
This trip is much too dangerous, Rajesh.
No, it's not.
Howard, tell them.
Doctor and Mrs. Koothrappali, namaste.","but if it'll make you feel any better,
and this is a woman who kept a safety rail
on my bed until I was 17.
So, she has no problem","스리랑카까지 헤엄쳐서 가면 너도 따라갈래?
엄마가 뒤에서  잔소리하고있으면 혹시 모르죠
엄마한태 말대꾸 하지마라
니가 말하고 있는건 너무 위험해
전혀 아니에요
하워드 말좀해줘
어머님 아버님,","이게 도움이 될지는 모르겠지만 저희 어머니는 아무 걱정도 안하셔요
참고로 저희 어머니는 제가 17살이 될때가지
제가 침대에서 안떨어게 안전가드를 설치해놓으신 분이에요
그래서 너희 어머니는","n. 우려, 걱정",F
190,81240,concern,137,"Oh, your concern for me is touching.",BB515,388416,390550,oh your concern for me is touching,./bigbang,F,21,concern,13,8,4,"Hello, dear friends.
And Dr. Hofstadter.
'Sup?
'Sup?
My apologies.
I would've been here sooner,
but the bus kept stopping for other people to get on it.
I saved you a dumpling.","It will serve you well
I'm sorry, Sheldon, I'm busy.
I'm right in the middle of my addiction study.
I've got a lab full of alcoholic monkeys,","안녕, 친구들
호프스태더 박사도
왓썹
왓썹
미안
더 일찍 올 수 있었는데
버스가 다른 사람들을 태우려고 계속 멈췄어
만두 하나 남겼어","내일 치과에 데려다 줄 때도 똑같이 하면 돼
미안한데 난 바빠
중독 관련 연구를 진행 중이야
실험실이 알코올 중독 원숭이로 가득 찼어","n. 우려, 걱정",F
192,14532,concerns,202,But I'm not done. I have many additional  concerns about these questions.,BB205,796691,800132,but i'm not done i have many additional concerns about these questions,./bigbang,F,21,concern,15,3,3,"The correct answer is when covered by a film of liquid sufficient to reduce the coefficient of static friction
between the tire and the road to essentially zero,
Here's your learner's permit. Go away.","Don't make me climb over this counter. - Come on.
Next!
Aced it.","정답은 액체 막이 생겨서 타이어와 도로 사이의 정지 마찰 계수를
0으로 감소시켜야 하지만 새로운 마찰이 생기지 않도록 너무 두꺼워서도 안 되겠죠
임시 운전 면허증이요 어서 가버려요","이 책상 위에 올라가게 만들지 마요 - 자, 가자
다음!
만점이에요","n. 우려, 걱정",F
193,19075,concerns,311,I don't think this is the kind of thing  Jesus concerns himself with.,BB207,1119461,1123662,i don't think this is kind of thing jesus concerns himself with,./bigbang,F,21,concern,16,5,2,"she keeps sitting in my spot.
And she touched my food.
Okay, yes, I took her clothes,  but she started it...
No, that's not fair.
Why should I have to apologize?","No, you're right.
All right, good-bye.","계속 내 자리에 앉잖아요
그리고 내 음식 건드렸어요
페니 옷은 내가 그랬지만  페니가 먼저 시작했다고요
그건 불공평하잖아요!
내가 왜 사과해요!","예수님이 무슨 생각하시는지  내가 어떻게 알겠어요
알겠어요, 끊어요","n. 우려, 걱정",F
194,5563,concerned,122,"One has to be concerned not only about what one says,",BB201,451680,454140,one has to be concerned not only about what one says,./bigbang,F,21,concern,17,5,2,"Well,I'm sorry,but you would have had to express that desire before revealing the secret,
so that I could choose whether or not I wanted to accept the covenant of secret keeping.
You can't impose a secret on an ex post facto basis.
What?
Secret keeping is a complicated endeavor.","but about facial expressions, autonomic reflexes.
When I try to deceive,I myself have more nervous tics than a Lyme disease research facility.","그럴려면 비밀을 밝히기 전에  비밀을 말할 거라고 말했어야죠
그래야 비밀 보호 계약을 이행할 지 내가 결정할 수 있잖아요
일단 말하고 강요하면 안 되요
뭐라고요?
비밀을 지키는 건 아주 힘든 노력이 필요해요","얼굴 표정이라던가  자율 신경계의 반사 작용도 고려해야죠
거짓말을 해야할 때는 <font color=#FFD700>라임병</font> 연구실에서보다 더 많이 경련이 일어나거든요","n. 우려, 걱정",F
196,51912,concerned,328,I know you're concerned about disappointing me,BB223,957380,960350,i know you're concerned about disappointing me,./bigbang,F,21,concern,19,7,3,"I want a cookie, Meemaw.
Sheldon, it's me.
But Meemaw just made cookies.
Listen, I don't know if I can go on the expedition.
What?
I don't think I can go to the North Pole.
Okay, Leonard,","but I want you to take comfort from the knowledge
that my expectations of you are very low.
Yeah, that's very comforting.","쿠키먹고싶어요 엄마
쉘든 나야
엄마가 막 쿠키를 만들었는대?
쉘든 원정대에 가는게 좋은생각인지 모르겠어
뭐?
북극에 못갈것 같아
레너드 잘 들어","하지만 전혀  걱정할필요 없어 왜냐하면
너에대한 나의 기대치는 굉장히 낮거든
그래, 걱정이 싹 가신다","n. 우려, 걱정",F
197,31683,double,239,"Ooh, double sixes.",BB214,873990,876090,ooh double sixes,./bigbang,F,22,double,10,5,4,"Come on. It'll be fun. - What is it?
Do you guys remember Penny's ex-boyfriend Kurt?
Yeah, that's him.
It tur out he owes Penny a lot of money, and I'm gonna go get it from him.
Who's with me?","Really? You're just gonna let me go by myself?
Oh, cool, I got a sword.
I could use some help.
Here.","가자, 재미 있을 거야 - 뭔데?
Penny 전 남친 Kurt 기억나?
맞아, 그 사람이야
Penny 한테 빚을 좀 진 모양인데 가서 좀 받아오려고
같이 갈 사람?","진심이야? 정말로 나 혼자 보낼거야?
와, 칼이다
도와준다면 좋을텐데
여기",v. 두 배가 되다,F
198,52332,double,405,I say double feature.,BB223,1192650,1193780,i say double feature,./bigbang,F,22,double,11,7,4,"Only a handful of people in all of human history
He's right.
Yeah, wow.
It is remarkable.
So, who's up for a movie?
Good idea, what do you think?
Ice Station Zebra or John Carpenter's The Thing?","Dinner's ready!
What are we having?
Reconstituted Thai food.
Did you bring the dehydrated low-sodium","지금 우리가 있는곳에 와본사람은 인류 역사상 손에 꼽을정도로 적어
저말이 맞아
정말
정말 훌륭하긴해
영화볼사람?
좋은 생각이야
""제브라 작전"" ? 아니면 존 카펜터의 ""그것"" ? (둘다 북극영화)","저녁시간이야
오늘 메뉴는 뭐야?
북극에서 재현된 타이 음식이야
수분뺀 저-나트륨 간장 챙겼어? - 챙겼어",v. 두 배가 되다,F
199,62489,double,158,"Double Stuf? - No, regular.",BB506,469969,471602,double stuf no regular,./bigbang,F,22,double,12,6,4,"and two beautiful mixed-race babies.
I didn't get a lot of that because of your accent,
but the general tone was soothing
and somehow I feel better.
I'm not going to get my pecan pie, am I?
You want some Oreos?","Nice. Kick a man when he's down.
I'm glad we're finally getting to do something together,
just the two of us.
Sure. One thing you really miss when you're on","세계를 여행하고 있단다
사투리 때문에  알아듣지 못 했어요
그래도 말투가 위안이 되네요
기분이 나아졌어요
피칸 파이 못 먹겠지?
오레오라도 먹을래?","그래, 날 두 번 죽여라
드디어 뭔가 같이 하네요
둘만의 시간이 필요했어요
그래, 휴가 때는 빨래가 더욱 하고 싶더구나",v. 두 배가 되다,F
202,78601,double,382,"Fine, we can double with you, too.",BB513,1191338,1193772,fine we can double with you too,./bigbang,F,22,double,15,5,3,"No, can't do it.
Sorry, Quinto, you're going back.
If you and Leonard get back together,
Sheldon and I will finally have someone
What about me and Howard?","So insecure.
Where are you guys going to eat?
Penny?","안 되겠다
퀸토, 넌 반품이야
네가 레너드랑  다시 합치면
우리 커플이랑  더블 데이트하면 되겠다
나랑 하워드는?","이렇게 불안해하다니
어디서 먹을 거야?
페니?",v. 두 배가 되다,F
203,84312,double,253,And Ma and I have a primo double cemetery plot at Mt. Sinai,BB516,758269,761038,and ma and i have primo double cemetery plot at mt sinai,./bigbang,F,22,double,16,8,2,"She wants to protect her financial interests.
It's completely reasonable.
Good. That's a healthy attitude.
Yeah, actually, it's good for both of us.
I have assets to protect, too.
Like what?
I've got some rare comic books.
The Vespa's almost paid off.","right near the guy who played Mr. Roper on  Three's Company.
Mr. Roper's dead?!","금전적인 면도 챙겨야지
합리적이야
그럼 다행이고
나한테도 좋은 거야
나도 챙길 게 있어
뭔데?
한정판 만화책
베스파 할부도 끝나가고","시트콤 Three's Company의 로퍼 역 배우 옆 자리야
로퍼가 죽었어?",v. 두 배가 되다,F
204,90603,double,152,(quietly): I'm thinking double wedding.,BB520,434209,436910,quietly i'm thinking double wedding,./bigbang,F,22,double,17,9,1,"Excuse me, are you Rajesh?
Ah, yes.
You must be Lakshmi.
Uh, nice to meet you.
Nice to meet you, too.
Oh! These are my friends.
This is Bernadette. - Hello.
And this is Howard. - Nice to meet you.
You, too. - Please, have a seat.",SPOCK:  Dr. Cooper.,"혹시 라제쉬이신가요?
네
락슈미씨 맞죠?
만나서 반가워요
네, 반갑습니다
제 친구들이에요
이쪽은 베르나데트
여기는 하워드라고 해요
편하게 앉으세요",쿠퍼 박사,v. 두 배가 되다,F
205,58044,doubles,215,Doubles. Roll again.,BB504,719338,720721,doubles roll again,./bigbang,F,22,double,18,4,2,"Could you tell us?
Let's see.
Snake eyes. Sorry, bud.
Wait, hang on.","Okay, get this.
It doesn't matter if he's showering her with gifts,","얘기해줄래?
어디 보자
뱀 눈이 걸렸어, 미안
잠깐","자, 들어봐
선물을 갖다 바쳐도  신경 쓸 문제는 아냐",v. 두 배가 되다,F
206,12316,contact,218,There are hundreds of Croatian women just waiting for you to contact them.,BB204,808034,812401,there are hundreds of croatian women just waiting for you to contact them,./bigbang,F,23,contact,10,4,2,"Terrific. - It has more food, too.
Come on. Come on.

Good news. You don't have to sulk about Penny anymore.","Anything-for-a-greencard.com?
I'll lend you my user name. It's ""Wealthy Big Penis.""","대단한데 - 음식도 더 많아
빨리 가요
나 왔어
딱 맞춰 왔어, 더 이상 페니 때문에 속 썩일 필요 없게 됐어","영주권을위해서라면.com?
내 아이디 빌려줄게 ""거시기 큰 부자""야",v. 연락하다,F
208,34001,contact,293,to have some sensation of human contact?,BB215,800830,803330,to have some sensation of human contact,./bigbang,F,23,contact,12,7,2,"for some stupid antidepressant commercial.
And for what?
So I'll finally get my daddy's approval?
Did you get the part?
No, they said I was too perky.
You want to talk about not getting love from a parent.
You know what I used to do when I was little","Yeah, you grabbed your penis and wouldn't let go.
Your mother told me.","멍청한 항우울증 광고 오디션을 봤어
그리고 뭔가 알아?
마지막으로 아빠의 허락을 받으려고 했거든?
합격했어?
아니, 나보고 너무 쌩쌩하대(perky)
너 부모님한테 사랑받지 못한 이야기를 하고싶은 것 같은데
내가 어렸을때 관심받고 싶어서","응, 너 고추 붙잡고 못가게 했지
네 어머니가 말씀하셨어",v. 연락하다,F
209,43992,contact,27,The one that estimates the odds of making contact with extraterrestrials,BB220,107830,110430,one that estimates odds of making contact with extraterrestrials,./bigbang,F,23,contact,13,5,2,"Thursday night is Ladies' Night.
Which means, as the evening progresses,
we will get better looking courtesy of 99 cent margaritas and two-for-one Jell-O shots.
Come on, Howard, the odds of us picking up girls in a bar are practically zero.
Oh, really? Are you familiar with the Drake Equation?","by calculating the product of an increasingly restrictive series of fractional values
such as those stars with planets, and those planets likely to develop life?","목요일 밤은 'Ladies' Night' 이라고
무슨 말이냐면, 오늘 밤이 깊어갈수록
99센트짜리 마가리타와 반값의 젤로샷 덕분에 우리가 잘생겨 보일거란 뜻이지
관둬, 하워드.. 우리가 술집에서 여자를 꼬실 확률은 사실상 제로야
아, 그래? 드레이크 방정식이라고 들어는 봤냐?","점점 더 제한적인 일련의 소수를 모두 곱해서
우리가 외계인과 조우할 가능성을 구하는 공식이지",v. 연락하다,F
210,49166,contact,176,don't make too much eye contact.,BB222,569155,571628,don't make too much eye contact,./bigbang,F,23,contact,14,5,3,"All right, well, off the top of my head,
I think the most important thing with Penny is to go really slow.
I mean, glacial.
Guys come onto her all the time, so, you need to set yourself apart.
Be a little shy,","And, you know, treat her with, like, cool detachment
and-and, you know, fear.
Fear? - Yeah, like,","좋아, 그래 지금 떠오르는 생각은
페니와 데이트 할때 가장 중요한 것은  천천히 하는 거라고 생각해
내 말은, 빙하같이 말이야
남자 들이 항상 페니한테 들이대니깐, 넌 오히려 좀 떨어져서
약간은 수줍은 듯이","너도 알잔하 쿨한게 초연한 것 처럼 대해
그리고-그리고, 알잖아, 두려움
두려움? - 그래, 그건",v. 연락하다,F
211,61271,contact,441,the Borg Queen in  First Contact?,BB505,1125763,1127680,borg queen in first contact,./bigbang,F,23,contact,15,4,2,"Right, right. (laughs)
MRS. WOLOWITZ: Make up all you want!
Your tuchis is not leaving this planet!
Hey, you know that beautiful actress who plays","Yeah. - Well, I just met her gynecologist!
What are you doing here?","응응 그래 (laughs)
MRS. WOLOWITZ: 아무리 발버둥쳐봐도
니 엉덩짝은 지구를 떠날수 없어!
야 ""First Contact""에서","응 - 나 방금 걔 산부인과 주치의 만났어!
여기서 뭐해?",v. 연락하다,F
212,66645,contact,158,craving human intimacy and physical contact.,BB508,521743,523960,craving human intimacy and physical contact,./bigbang,F,23,contact,16,6,1,"did you fail to offer them a beverage?
'Cause I can see how that could stick in someone's craw.
Sheldon, I'm going to ask you something,
and I'd like you to keep an open mind.
Always.
At this moment, I find myself",You know ours is a relationship of the mind.,"음료를 내오지 않은 적 있어?
그걸로 앙금이  남을 수도 있거든
쉘든, 질문할게 있어
열린 마음으로  들어주면 좋겠어
물론이지
지금 이 순간에",우리는 정신적 관계를  맺고 있잖아,v. 연락하다,F
213,71331,contact,227,I'm a fan of anything that tries to replace actual human contact.,BB510,707457,710725,i'm fan of anything that tries to replace actual human contact,./bigbang,F,23,contact,17,8,3,"Yeah, it's also a wand.
With a hologram? Nice!
Hey, do you see this?
I'm in the matrix, Leonard; I see everything.
You got to be kidding me.
You friended Stuart on Facebook?
I thought you didn't like Facebook anymore.
Don't be silly.","You're looking at Facebook to find out how their date went.
Really?
You think I care if a man, what,","마술봉으로 변신!
홀로그램까지? 멋지다
보고 있어?
난 매트릭스 안에서 모든 걸 보고 있지
뭐하는 거야
스튜어트랑  페북 친구 먹었네?
페이스북  싫어하는 거 아니였어?
어리석은 것","데이트가 어땠는지 확인하려는 거잖아
장난해?
내가 신경 쓸 거 같아?",v. 연락하다,F
214,85167,contact,410,leave as quickly as you can without making eye contact.,BB516,1250963,1253997,leave as quickly as you can without making eye contact,./bigbang,F,23,contact,18,7,2,"the designated hitter rule, recycling or the fact
that you're Jewish.
Got it, got it.
Will you e-mail me that list?
So the thing to watch for,
if he's shouting at you, you're okay,
but if he starts to get real quiet,","Not in a straight line-- throw some zigs and zigs in there.
You know, this isn't that pressing.","지명 타자, 재활용
그리고 네가 유대인이란 것
알겠어
이메일로 보내줄래?
주의해야 할 건
아빠가 소리를 지르면 안전한데
아무 말도 안 하면","직선으로 걷지 말고 이쪽 저쪽으로 다녀
있잖아, 별로 급하지 않으니까",v. 연락하다,F
215,7753,appreciate,145,"Nevertheless, I have one now and I'd appreciate it if you would,",BB202,494140,497368,nevertheless i have one now and i'd appreciate if you would,./bigbang,F,24,appreciate,10,5,4,"No problem. I have three controllers. The more the merrier.
It's a date. I have a date coming over.
You can't blame me for not jumping to that conclusion.
Why? What's so unusual about me having a date?
Statistically speaking... - All right, all right.","make yourself scarce.
I'm a published theoretical physicist with two doctorates

How much scarcer could I be?","괜찮아, 패드 3개 있어 많을수록 재밌으니까
데이트야 오늘 데이트 여기서 하기로 했어
그런 결론을 내지 못했다고 내 탓 하면 안 돼
왜? 내가 데이트 하는 게 뭐가 그리 이상해?
통계적으로.. - 알았어","오늘은 자리를 비켜주면 정말 좋겠어
난 2개의 박사 학위를 가진 이론 물리학자이면서
일반적인 시험으로는 측정 불가능한 IQ를 가졌다고
얼마나 내가 모자라겠어? <font color=#6AC793>(scarce - 모자라다는 뜻이 있음)",v. 감상하다,F
216,9523,appreciate,106,"It's... Oh, for God's sakes, gimme. - Thank you-- I really appreciate.",BB203,442427,445476,it's oh for god's sakes gimme thank you i really appreciate,./bigbang,F,24,appreciate,11,7,3,"I bought the game, and I've been exploring the island of Tortage,
but I don't know how to get past the Guard Captain.
Do you have the Enchanted Sword? - No, I have a bronze dagger.
You can't slay the Guard with a bronze dagger.
My Lord, it's like the car key in your apartment door all over again.
All right, how do I get the sword? - Have you been to the Temple of Mitra?
Is that the place on the hill with the weird priest in front of it?","You're gonna have to learn to do these things for yourself.
Don't patronize me-- just get the sword!
What the frack?","게임을 사서 토르티지 섬을 돌아다녔는데
경비 대장을 어떻게 넘겨야 할지 모르겠어요
마법검은 가지고 있어요? - 아뇨, 지금 청동 단검인데요
청동 단검으로는 경비 대장 못 깨요
지금 이건 대문에 열쇠 넣는 거랑 다를 게 없잖아요
알겠어요, 그 칼은 어떻게 구해요? - 미트라 사원에는 갔어요?
언덕 위에 이상한 사제들이 있던 곳이요?","이런 건 혼자서도 할 줄 알아야 해요
잘난 척하지 말고 칼이나 찾아봐요
도대체 뭔 일이래?",v. 감상하다,F
217,19136,appreciate,322,"Sheldon, this was big of you.  Thank you. I really appreciate it.",BB207,1169751,1172712,sheldon this was big of you thank you i really appreciate,./bigbang,F,24,appreciate,12,5,5,"I am very, very sorry  for what I have done.
Here's your laundry.
I rescind your strikes
Can I sit wherever I want?
Never mind, never mind.  That's not important.","Thank you.
Good night, Sheldon.
Penny?
Yes?
Well played.","내가 한 일에 대해서 정말 정말 미안해요
여기 페니 옷이요
페니의 스트라이크는 무효예요  그러니 이제 추방된 것도 아니에요
아무 데나 앉아도 돼요?
됐어요, 중요한 건 아니니까요","고마워요
잘 가요
페니?
네?
잘했어요",v. 감상하다,F
218,25371,appreciate,319,"Then, I think you'll appreciate what I got you.",BB211,1165753,1168473,then i think you'll appreciate what i got you,./bigbang,F,24,appreciate,13,4,1,"Here. Open it.
A gift cerficate for motorcycle lessons.
Very thoughtful. - Yeah, and I checked.
Not letting the bike fall on you while standing still is lesson one.","""101 Totally Cool Science Experiments for Kids.""","이거 열어봐요
오토바이 교습 수강증이네요
생각도 깊으셔라 - 꼼꼼히 살펴봤어요
첫 시간에는 오토바이가 자기한테 넘어지지 않게 하는 걸 배운대요","""어린이를 위한 멋진 101가지 과학 실험세트""군요",v. 감상하다,F
219,42725,appreciate,235,"Uh, hey, guys, guys, you will really appreciate this.",BB219,674700,677500,uh hey guys guys you will really appreciate this,./bigbang,F,24,appreciate,14,5,5,"Alicia, what do you want as your default setting for dvds
5.1 dolby or dts?
Whatever you think is best, cutie.
Well, dts has more low end, so...
Okay.","I read the best science joke on the internet.
Alicia, you won't get it, but it's right up their alley.
Anyway, so,
This physicist goes into an ice cream parlor
every week and orders an ice","앨리샤 디비디 기본설정을 뭐로 해드릴까요?
5.1 돌비 아니면 DTS?
아무거나 좋은걸로 해주세요 귀염둥이씨~
음, DTS는 좀 더 저음질이고..
오케.","인터넷에서 엄청 웃긴 과학농담을 읽었거든
앨리샤는 이해 못할거에요 이런 얘기는 얘네들이 전문이거든요
어쨌거나
한 물리학자가 아이스크림집에 가서
매주마다",v. 감상하다,F
220,44547,appreciate,104,"Penny, just because people appreciate comic books doesn't make them weirdos.",BB220,393980,397280,penny just because people appreciate comic books doesn't make them weirdos,./bigbang,F,24,appreciate,15,6,3,"I think we're fine, Stuart.
Okay. Well, let me know if you need anything.
Thks.
Oh, he seems like a nice guy.
You mean for someone who's into comic books?
No. No-no-no. I just meant for... yeah.","Stuart's a terrific artist.
He went to the Rhode Island School of Design.
Okay, what about the guy over there in the superhero T-shirt tucked into his sweatpants?","우리가 알아서 찾을께, 스튜어트
알았어, 그럼 뭐 필요한 거 있으면 불러요
고마워요
좋은 사람 같네
만화책에 열중하는 사람 치고는 말이지?
아냐, 아냐 내 말은 그냥.. 맞아","스튜어트는 훌륭한 예술가라고
로드아일랜드 디자인 스쿨까지 나왔어
좋아, 그럼 저기 츄리닝 바지에다 슈퍼히어로 티셔츠 넣어입은 남자는 어때?",v. 감상하다,F
221,75672,appreciate,235,that Amy would appreciate more,BB512,794470,795885,that amy would appreciate more,./bigbang,F,24,appreciate,16,3,1,"and nothing to be happy about for the next 20 years,
sure, that'll be completely different.
I don't think there's anything in this jewelry store","Oh, my God, now I know what I sound like to you","적어도 20년 동안 고생할 텐데
완전히 다르겠지
여기는 에이미가 좋아할 물건이 하나도 없어",내가 멍청한 소리를 할 때  이런 기분이 들겠군,v. 감상하다,F
222,94130,appreciate,28,"Now, as a human, I appreciate Beethoven.",BB522,100314,102815,now as human i appreciate beethoven,./bigbang,F,24,appreciate,17,7,3,"No, the best organism for human beings to merge with
That way, you'd be human, fungus, and algae.
Triple threat.
Like three-bean salad.
Give me one circumstance in which that would be useful.
All right, picture this:
a beautiful outdoor concert.","As a fungus, I have a terrific view,
growing out of a towering maple tree.
And no thank you, expensive concessions.","정답은 지의류야
그러면 인간이면서 동시에 균류와 조류겠지
3배로 위협적이야
쓰리 빈 샐러드처럼
어떤 상황에서 유리한데?
상상해봐
야외 콘서트에서","단풍 나무에서 자라는 균류로
전망 좋은 곳을 차지하고
비싼 돈도 낼 필요 없어",v. 감상하다,F
223,75321,appreciated,173,It's appreciated. And if you ever manage,BB512,577923,579589,it's appreciated and if you ever manage,./bigbang,F,24,appreciate,18,4,2,"Well, you skip over any attempt to repair
your emotional connection and you win back her affection
Well, that approach has Sheldon Cooper written all over it.
Glad I could help.","to find a woman again, I'll be glad to return the favor.
And now, all the rings are","감정적인 부분을 배제하고
투자를 해서  기분을 풀어주는 거지
완전 내 스타일이네
도움이 됐다니 뿌듯하다","너도 여자가 생기는  날이 온다면 꼭 보답할게
이제 모든 링이 연결되었다",v. 감상하다,F
224,79592,appreciated,186,"(chimes) Thank you, it's nice to be appreciated.",BB514,606145,611398,chimes thank you it's nice to be appreciated,./bigbang,F,24,appreciate,19,6,2,"(chimes) So, Siri, what's happening?
(chimes) I am well.
(chimes) What are you doing right now?
(chimes) What am I doing?
I'm talking with you.
(chimes) You have a beautiful voice.","I bet it is.
(chimes) Why don't women like me?","시리, 잘 지내?
잘 지내고 있습니다
뭐하고 있어?
뭐하고 있냐고요?
당신과 얘기하고 있어요
목소리가 정말 좋다","그렇겠지
여자들은 왜 나를 싫어할까?",v. 감상하다,F
225,18271,issue,11,That's more of a dental issue.,SI106,36730,38190,that's more of dental issue,./silicon,F,16,issue,19,7,3,"who was biologically younger  than you are, and he's 58.
MySpace guy.
So what is going on?
Uh... It's this cloud  service configuration,
I've been stuck on it for over a week.  - Wow.
I'm a good programmer. I mean,  it's the only thing I am good at.
I mean, last year, I threw a  Frisbee and it chipped my tooth.","Yup, OK, I...
The point is, I learned Ruby on  Rails over a weekend when I was 17.
I should be able to learn cloud, I have to.","생물학적으로 너보다 어린 나이에 58살이야
마이 스페이스 친구.
그래서 무슨 일이 일어나고 있는 거지?
어...이건 클라우드 서비스 구성입니다.
일주일 넘게 매달려 있었어요
저는 훌륭한 프로그래머입니다. 내 말은, 그게 내가 잘하는 유일한 것이라는 거야.
작년에 프리스비를 던졌더니 이가 부러졌어요","그래, 알았어, 난...
중요한 건, 제가 17살 때 주말에 루비 onRails를 배웠어요.
클라우드를 배울 수 있어야 합니다.",v. 발행하다,F
226,8743,cause,217,"Peter, I know you don't want to cause",SI103,644280,648094,peter i know you don't want to cause,./silicon,F,17,cause,16,4,2,"A high number of these breadings  have sesame seeds on them.
Billions of breadings.
Sesame seeds.
They only grow in certain microclimates.","a hundred and seventy  three people in North...
Cicadas.","많은 수의 이들 빵에는 참깨가 있습니다.
수십 억개의 탈옥 사건이 있었어요
참깨
그들은 특정한 초소형에서만 자란다.","170명의 북부인들은...
매미들.","n. 명분, 목적; 원인, 이유",F
227,7734,remind,61,"Well, um, just to remind you,  you are not the co-founder.",SI103,162970,167890,well um just to remind you you are not cofounder,./silicon,F,18,remind,18,8,4,"What is that atrocity?
What are we, an Irish pornography company?
I thought we were gonna  replace the name ""Pied Piper.""
I thought it was a Place Holder.
""PlaceHolder"" would honestly be  a better name than Pied Piper.
Richard, I've actually been holding  off telling people I'm the co-founder
of ""Pied Piper"" because frankly,
it's a little embarrassing.","So please don't tell anyone.
Richard, take Aviato. That's not a  name I found, it's a name that found me
on a vision quest.
Something that you should do.","저 잔혹함은 무엇일까요?
우리가 아일랜드 포르노 회사라고?
난 우리가 \""피리 부는 사나이\""라는 이름을 대신할 거라고 생각했어요.
장소 홀더인 줄 알았는데
\""PlaceHolder\""는 솔직히 PiedPiper보다 더 좋은 이름일 것이다.
리처드, 난 사실 사람들에게 내가 공동 창업자라고 말하는 걸 미뤄 왔어요
'피리 부는 사나이'의 노래를 부른 건 솔직히
조금 부끄러운 일이지요.","그러니 아무에게도 말하지 마세요.
리처드, 아비아토를 맡아요 내가 찾은 이름이 아니라 날 찾은 이름이야
환상 탐색을 하고 있어요
네가 해야 할 일이야",v. 상기시켜주다,F
228,8251,remind,141,You remind me of my son.,SI103,411580,414710,you remind me of my son,./silicon,F,18,remind,19,7,4,"Well, sometimes we do center pivot,
but mainly we do lineal  like you see out there.
What is it your business does again?
Something to do with algebra?
Uh... algorithm, actually.
It's for compression.
Ultimately what we're trying to do is...","He's got asperger's too.
Oh, no, I don't uh...
Probably all those pesticides  they put on the crops.
Well, whatever it is your business does,","가끔은 중심 피벗을 하기도 하고
하지만 우리는 주로 바깥에서 보시는 것처럼 온라인을 이용합니다.
당신이 하는 일이 뭐죠?
대수학이랑 관련이 있다고?
어...알고리즘이요, 사실.
압축을 위한 것입니다.
궁극적으로 우리가 하려는 일은...","아스페르거도 있어요
오, 아니, 난...
아마 농작물에 살충제를 뿌렸을 거야
당신이 무슨 일을 하든",v. 상기시켜주다,F
229,10186,reminds,431,It reminds me when I started  Pied Piper in my garage.,SI103,1307440,1312270,reminds me when i started pied piper in my garage,./silicon,F,18,remind,20,6,4,"Technologies. Technolo-Jesus.
Oh, fuck!
So this is Pied Piper?
This is a billion dollar company?
Not even close. Not yet.
You pack a lot of guys in here.","I kind of miss those days.
Oh, yeah?
I'll tell you what.
Five thousand bucks and the name is yours.","기술. 테크노로 제수스
엿이나 먹어!
그럼, 이 사람이 피리 부는 파이퍼인가요?
여기가 10억달러짜리 회사라고요?
가깝지도 않다. 아직은 아니에요.
여기 남자들을 많이 넣어 둬요.","그때가 좀 그립네요.
정말, 그래?
제 말을 들어보세요.
5천달러면 이름은 네 거야",v. 상기시켜주다,F
